es_code	es_name	gene_id	gene_id_type	confidence	evidence_source	functional_role	pathway_context	notes
2.1.1.1	Decomposing wastes or polluting substances	Acyl-CoA_dh_N	Pfam	0.55	kegg_decoder+literature	producer	Fatty acid/xenobiotic beta-oxidation	Acyl-CoA dehydrogenase N-terminal; first step beta-oxidation; hydrocarbon degradation
2.1.1.1	Decomposing wastes or polluting substances	Acyl_transf_1	Pfam	0.45	kegg_decoder+literature	producer	Acyltransferase family 1	Lipid acyltransferase; diverse acyl group transfer reactions
2.1.1.1	Decomposing wastes or polluting substances	Acyl_transf_3	Pfam	0.45	kegg_decoder+literature	producer	Acyltransferase	Acyltransferase family 3; lipid modification and xenobiotic acylation
2.1.1.1	Decomposing wastes or polluting substances	Acyltransferase	Pfam	0.45	kegg_decoder+literature	producer	Acyl group transfer	Acyltransferase family; lipid/xenobiotic acylation and deacylation
2.1.1.1	Decomposing wastes or polluting substances	Ald_Xan_dh_C2	Pfam	0.50	kegg_decoder+literature	producer	Aldehyde/xanthine oxidase	Mo-containing aldehyde oxidase/xanthine DH; aldehyde and heterocyclic compound oxidation
2.1.1.1	Decomposing wastes or polluting substances	Aldedh	Pfam	0.55	kegg_decoder+literature	producer	Aldehyde detoxification	Aldehyde dehydrogenase family; detoxifies reactive aldehydes from pollutant breakdown
2.1.1.1	Decomposing wastes or polluting substances	Aldo_ket_red	Pfam	0.50	kegg_decoder+literature	producer	Carbonyl reduction/detox	Aldo-keto reductase; reduces toxic aldehydes/ketones from xenobiotic breakdown
2.1.1.1	Decomposing wastes or polluting substances	Aldolase_II	Pfam	0.45	kegg_decoder+literature	producer	Class II Zn-dependent aldolase	Aromatic degradation pathway aldol cleavage; HpcH_HpaI-related
2.1.1.1	Decomposing wastes or polluting substances	Amidase	Pfam	0.55	kegg_decoder+literature	producer	Amidase (Ami signature family)	Signature amidase; broad amide bond hydrolysis; xenobiotic amide/nitrile degradation
2.1.1.1	Decomposing wastes or polluting substances	Amidohydro_1	Pfam	0.55	kegg_decoder+literature	producer	Amide/ring hydrolysis	Amidohydrolase; hydrolyzes amide and C-N bonds; includes atrazine chlorohydrolase-like
2.1.1.1	Decomposing wastes or polluting substances	Amidohydro_2	Pfam	0.50	kegg_decoder+literature	producer	Cyclic amide hydrolysis	Dihydropyrimidinase-like amidohydrolase; cyclic amide/xenobiotic ring opening
2.1.1.1	Decomposing wastes or polluting substances	Amidohydro_3	Pfam	0.45	kegg_decoder+literature	producer	Metal-dependent C-N hydrolysis	Amidohydrolase 3; diverse metal-dependent hydrolysis of C-N bonds in xenobiotics
2.1.1.1	Decomposing wastes or polluting substances	Amino_oxidase	Pfam	0.55	kegg_decoder+literature	producer	Amine oxidation	Flavin amine oxidase; oxidizes xenobiotic amines; monoamine oxidase-like activity
2.1.1.1	Decomposing wastes or polluting substances	Bac_luciferase	Pfam	0.55	kegg_decoder+literature	producer	FMNH2-dependent monooxygenase	Alkanal monooxygenase/luciferase-like; oxidizes long-chain aldehydes and aromatic compounds
2.1.1.1	Decomposing wastes or polluting substances	CN_hydrolase	Pfam	0.55	kegg_decoder+literature	producer	Carbon-nitrogen bond hydrolysis	Nitrilase/cyanide hydratase superfamily; nitrile and amide xenobiotic degradation
2.1.1.1	Decomposing wastes or polluting substances	CoA_trans	Pfam	0.45	kegg_decoder+literature	producer	CoA transferase family I	Organic acid CoA transfer; acetoacetate/succinate metabolism
2.1.1.1	Decomposing wastes or polluting substances	CoA_transf_3	Pfam	0.45	kegg_decoder+literature	producer	CoA transfer / organic acid metabolism	CoA-transferase family III; succinyl-CoA:acetate transfer; organic acid degradation
2.1.1.1	Decomposing wastes or polluting substances	Cupin_2	Pfam	0.50	kegg_decoder+literature	producer	Dioxygenase / aromatic ring cleavage	Cupin superfamily; gentisate/quercetin dioxygenases; aromatic xenobiotic ring cleavage
2.1.1.1	Decomposing wastes or polluting substances	DAO	Pfam	0.50	kegg_decoder+literature	producer	D-amino acid/amine oxidation	FAD-dependent oxidoreductase; D-amino acid oxidase-like; oxidizes diverse amines
2.1.1.1	Decomposing wastes or polluting substances	DLH	Pfam	0.55	kegg_decoder+literature	producer	Dienelactone hydrolase	Chlorocatechol degradation; halogenated aromatic xenobiotic pathway
2.1.1.1	Decomposing wastes or polluting substances	ECH_1	Pfam	0.50	kegg_decoder+literature	producer	Fatty acid beta-oxidation	Enoyl-CoA hydratase; beta-oxidation step 2; fatty acid and xenobiotic degradation
2.1.1.1	Decomposing wastes or polluting substances	ETF	Pfam	0.45	kegg_decoder+literature	transformer	Electron transfer flavoprotein	ETF; electron acceptor from acyl-CoA DH and other dehydrogenases; beta-oxidation ETC link
2.1.1.1	Decomposing wastes or polluting substances	Esterase	Pfam	0.55	kegg_decoder+literature	producer	Esterase	Carboxyl ester hydrolase; xenobiotic ester bond cleavage; lipid/pollutant processing
2.1.1.1	Decomposing wastes or polluting substances	F420_oxidored	Pfam	0.50	kegg_decoder+literature	producer	F420-dependent oxidoreductase	Coenzyme F420-dependent oxidoreductase; reduces nitro compounds; xenobiotic nitroreduction
2.1.1.1	Decomposing wastes or polluting substances	FAA_hydrolase	Pfam	0.50	kegg_decoder+literature	producer	Aromatic amino acid degradation	Fumarylacetoacetate hydrolase; tyrosine/phenylalanine catabolism; aromatic ring processing
2.1.1.1	Decomposing wastes or polluting substances	FAD-oxidase_C	Pfam	0.50	kegg_decoder+literature	producer	FAD-dependent oxidase C-terminal	Vanillyl-alcohol oxidase family C-terminal; aromatic oxidation
2.1.1.1	Decomposing wastes or polluting substances	FAD_binding_3	Pfam	0.45	kegg_decoder+literature	producer	FAD-dependent oxidation	FAD-binding in oxidases/dehydrogenases; diverse substrate oxidation
2.1.1.1	Decomposing wastes or polluting substances	FAD_binding_4	Pfam	0.50	kegg_decoder+literature	producer	FAD-dependent oxidation	Vanillyl-alcohol oxidase family; aromatic compound oxidation
2.1.1.1	Decomposing wastes or polluting substances	FAD_binding_6	Pfam	0.45	kegg_decoder+literature	producer	FAD-binding 6	FAD-linked oxidase; diverse substrate oxidation
2.1.1.1	Decomposing wastes or polluting substances	FAD_binding_7	Pfam	0.45	kegg_decoder+literature	producer	FAD-binding 7 (BBE-like)	Berberine bridge enzyme-like; FAD-dependent oxidase
2.1.1.1	Decomposing wastes or polluting substances	FA_hydroxylase	Pfam	0.55	kegg_decoder+literature	producer	Fatty acid hydroxylase	FA hydroxylase; omega-hydroxylation of fatty acids; alkane/lipid degradation pathway
2.1.1.1	Decomposing wastes or polluting substances	FGE-sulfatase	Pfam	0.45	kegg_decoder+literature	producer	Sulfatase activation	Sulfatase-modifying factor; post-translational activation of sulfatases
2.1.1.1	Decomposing wastes or polluting substances	Flavin_Reduct	Pfam	0.50	kegg_decoder+literature	producer	Flavin reductase	Regenerates FMNH2 for monooxygenases; enables luciferase/P450 oxidation reactions
2.1.1.1	Decomposing wastes or polluting substances	Flavoprotein	Pfam	0.45	kegg_decoder+literature	producer	Flavoprotein electron transfer	Electron transfer in diverse oxidoreductions; links to xenobiotic metabolism
2.1.1.1	Decomposing wastes or polluting substances	GFO_IDH_MocA	Pfam	0.45	kegg_decoder+literature	producer	Oxidoreductase	Glucose-fructose oxidoreductase family; diverse oxidoreductions including xenobiotics
2.1.1.1	Decomposing wastes or polluting substances	GFO_IDH_MocA_C	Pfam	0.45	kegg_decoder+literature	producer	GFO/IDH/MocA C-terminal	Oxidoreductase C-terminal; co-occurs with GFO_IDH_MocA
2.1.1.1	Decomposing wastes or polluting substances	GMC_oxred_C	Pfam	0.50	kegg_decoder+literature	producer	GMC oxidoreductase C-terminal	Glucose-methanol-choline oxidoreductase; alcohol/aldehyde oxidation
2.1.1.1	Decomposing wastes or polluting substances	GMC_oxred_N	Pfam	0.50	kegg_decoder+literature	producer	GMC oxidoreductase N-terminal	GMC oxidoreductase N-term; co-occurs with GMC_oxred_C
2.1.1.1	Decomposing wastes or polluting substances	GSDH	Pfam	0.45	kegg_decoder+literature	producer	PQQ-dependent sugar dehydrogenase	Glucose/sorbosone DH; membrane oxidoreductase; organic acid production for P solubilization
2.1.1.1	Decomposing wastes or polluting substances	GST_C	Pfam	0.50	kegg_decoder+literature	producer	Glutathione S-transferase C	GST C-terminal domain
2.1.1.1	Decomposing wastes or polluting substances	GST_C_2	Pfam	0.50	kegg_decoder+literature	producer	Glutathione S-transferase C2	GST C-terminal variant
2.1.1.1	Decomposing wastes or polluting substances	GST_N	Pfam	0.50	kegg_decoder+literature	producer	Glutathione S-transferase N	GST N-terminal domain
2.1.1.1	Decomposing wastes or polluting substances	GST_N_3	Pfam	0.50	kegg_decoder+literature	producer	Glutathione S-transferase N3	GST N-terminal variant; xenobiotic conjugation
2.1.1.1	Decomposing wastes or polluting substances	Glyoxalase	Pfam	0.55	kegg_decoder+literature	producer	Methylglyoxal/xenobiotic detox	Glyoxalase/bleomycin resistance; detoxifies reactive carbonyls
2.1.1.1	Decomposing wastes or polluting substances	HpcH_HpaI	Pfam	0.55	kegg_decoder+literature	producer	HpcH/HpaI aldolase (meta-cleavage)	HpcH/HpaI aldolase; aromatic compound meta-cleavage pathway; 4-hydroxy-2-oxovalerate aldolase
2.1.1.1	Decomposing wastes or polluting substances	Hydrolase_3	Pfam	0.45	kegg_decoder+literature	producer	Alpha/beta hydrolase 3	Diverse ester/amide hydrolysis
2.1.1.1	Decomposing wastes or polluting substances	Hydrolase_4	Pfam	0.45	kegg_decoder+literature	producer	Haloacid dehalogenase-like	HAD superfamily; phosphoesterase and dehalogenase activities
2.1.1.1	Decomposing wastes or polluting substances	Isochorismatase	Pfam	0.50	kegg_decoder+literature	producer	Isochorismatase	Hydrolyzes isochorismate; siderophore pathway and aromatic compound degradation
2.1.1.1	Decomposing wastes or polluting substances	K00020	KO	0.65	kegg_decoder+literature	producer	Steroid/endocrine disruptor degradation	3-beta-hydroxysteroid dehydrogenase; degrades estrogens and other endocrine disruptors in water
2.1.1.1	Decomposing wastes or polluting substances	K00023	KO	0.6	foam	producer	08_Hydrocarbon degradation / Aromatic carboxylic acid degradation	phbB
2.1.1.1	Decomposing wastes or polluting substances	K00055	KO	0.6	foam	producer	08_Hydrocarbon degradation / Other aromatics degradation	E1.1.1.90
2.1.1.1	Decomposing wastes or polluting substances	K00120	KO	0.6	foam	producer	08_Hydrocarbon degradation / Polycyclic aromatic hydrocarbon degradation	fgd2
2.1.1.1	Decomposing wastes or polluting substances	K00128	KO	0.65	kegg_decoder+literature	producer	Aldehyde detoxification	ALDH aldehyde dehydrogenase NAD+; oxidizes toxic aldehydes from pollutant breakdown
2.1.1.1	Decomposing wastes or polluting substances	K00132	KO	0.6	foam	producer	08_Hydrocarbon degradation / Polycyclic aromatic hydrocarbon degradation	E1.2.1.10
2.1.1.1	Decomposing wastes or polluting substances	K00135	KO	0.50	kegg_decoder+literature	producer	Aldehyde degradation	gabD succinate-semialdehyde dehydrogenase; GABA and xenobiotic aldehyde oxidation
2.1.1.1	Decomposing wastes or polluting substances	K00141	KO	0.6	foam	producer	08_Hydrocarbon degradation / Other aromatics degradation	xylC
2.1.1.1	Decomposing wastes or polluting substances	K00155	KO	0.6	foam	producer	08_Hydrocarbon degradation / Polycyclic aromatic hydrocarbon degradation	LNAA, LNBA
2.1.1.1	Decomposing wastes or polluting substances	K00224	KO	0.6	foam	producer	08_Hydrocarbon degradation / Polycyclic aromatic hydrocarbon degradation	CEQORH
2.1.1.1	Decomposing wastes or polluting substances	K00249	KO	0.70	kegg_decoder+literature	producer	Fatty acid degradation	acyl-CoA dehydrogenase; lipid contaminant breakdown (oils/fats)
2.1.1.1	Decomposing wastes or polluting substances	K00252	KO	0.6	foam	producer	08_Hydrocarbon degradation / Aromatic carboxylic acid degradation	GCDH, gcdH
2.1.1.1	Decomposing wastes or polluting substances	K00344	KO	0.55	kegg_decoder+literature	producer	Quinone/xenobiotic reduction	qor NADPH:quinone oxidoreductase; reduces quinones and nitroaromatic xenobiotics
2.1.1.1	Decomposing wastes or polluting substances	K00446	KO	0.9	kegg_decoder+foam	producer	Catechol meta-cleavage (xenobiotic degradation)	Catechol meta-cleavage (M00569); dmpB, xylE
2.1.1.1	Decomposing wastes or polluting substances	K00448	KO	0.6	foam	producer	08_Hydrocarbon degradation / Other aromatics degradation	pcaG
2.1.1.1	Decomposing wastes or polluting substances	K00449	KO	0.6	foam	producer	08_Hydrocarbon degradation / Polycyclic aromatic hydrocarbon degradation	pcaH
2.1.1.1	Decomposing wastes or polluting substances	K00450	KO	0.6	foam	producer	08_Hydrocarbon degradation / Aromatic carboxylic acid degradation	E1.13.11.4
2.1.1.1	Decomposing wastes or polluting substances	K00451	KO	0.6	foam	producer	08_Hydrocarbon degradation / Aromatic carboxylic acid degradation	HGD, hmgA
2.1.1.1	Decomposing wastes or polluting substances	K00452	KO	0.6	foam	producer	08_Hydrocarbon degradation / Nitoaromatics degradation	HAAO
2.1.1.1	Decomposing wastes or polluting substances	K00462	KO	0.80	literature:PMID:28258138	producer	Aromatic ring cleavage	protocatechuate 3,4-dioxygenase; aromatic ring opening via ortho-cleavage
2.1.1.1	Decomposing wastes or polluting substances	K00463	KO	0.80	literature:PMID:28258138	producer	Aromatic ring cleavage	tryptophan 2,3-dioxygenase; indole ring cleavage
2.1.1.1	Decomposing wastes or polluting substances	K00465	KO	0.6	foam	producer	08_Hydrocarbon degradation / Polycyclic aromatic hydrocarbon degradation	CCD1
2.1.1.1	Decomposing wastes or polluting substances	K00480	KO	0.75	literature:PMID:28258138	producer	4-Nitrophenol degradation	4-nitrophenol 4-monooxygenase; nitroaromatic degradation; Wang et al 2017
2.1.1.1	Decomposing wastes or polluting substances	K00481	KO	0.6	foam	producer	08_Hydrocarbon degradation / Aromatic carboxylic acid degradation	pobA
2.1.1.1	Decomposing wastes or polluting substances	K00488	KO	0.75	literature:PMID:33280938	producer	Xenobiotic oxidation	naphthalene 1,2-dioxygenase; PAH initial oxidation; Sphingopyxis bioremediation
2.1.1.1	Decomposing wastes or polluting substances	K00492	KO	0.6	foam	producer	08_Hydrocarbon degradation / Nitoaromatics degradation	tmuM
2.1.1.1	Decomposing wastes or polluting substances	K00517	KO	0.70	literature:PMID:26441948	producer	Xenobiotic oxidation	cytochrome P450 monooxygenase; broad xenobiotic oxidation; Tan et al 2015
2.1.1.1	Decomposing wastes or polluting substances	K00599	KO	0.6	foam	producer	08_Hydrocarbon degradation / Polycyclic aromatic hydrocarbon degradation	METTL6
2.1.1.1	Decomposing wastes or polluting substances	K00632	KO	0.55	kegg_decoder+literature	producer	Fatty acid beta-oxidation	fadA acetyl-CoA acyltransferase; thiolase; final step of lipid/hydrocarbon beta-oxidation
2.1.1.1	Decomposing wastes or polluting substances	K00681	KO	0.60	kegg_decoder+literature	producer	Glutathione-xenobiotic conjugate processing	ggt gamma-glutamyltranspeptidase; mercapturic acid pathway for xenobiotic elimination
2.1.1.1	Decomposing wastes or polluting substances	K00799	KO	0.70	kegg_decoder+literature	producer	Xenobiotic conjugation/detoxification	GST glutathione S-transferase; conjugates xenobiotics for detox; broad substrate (pesticides, metals, organics)
2.1.1.1	Decomposing wastes or polluting substances	K01061	KO	0.75	literature:PMID:33280938	producer	Ester bond hydrolysis	carboxylesterase; broad-spectrum xenobiotic ester hydrolysis
2.1.1.1	Decomposing wastes or polluting substances	K01130	KO	0.60	kegg_decoder+literature	producer	Sulfate ester hydrolysis	arylsulfatase; hydrolyzes sulfate esters from pollutants; xenobiotic S processing
2.1.1.1	Decomposing wastes or polluting substances	K01255	KO	0.70	literature:PMID:33280938	producer	Xenobiotic peptide hydrolysis	aminopeptidase; broad xenobiotic peptide bond cleavage
2.1.1.1	Decomposing wastes or polluting substances	K01426	KO	0.60	kegg_decoder+literature	producer	Amide bond hydrolysis	amiE amidase; hydrolyzes amide bonds in xenobiotics (acrylamide, herbicide amides)
2.1.1.1	Decomposing wastes or polluting substances	K01473	KO	0.6	foam	producer	08_Hydrocarbon degradation / BTEX and related aromatics degradation	hyuA
2.1.1.1	Decomposing wastes or polluting substances	K01501	KO	0.6	foam	producer	08_Hydrocarbon degradation / Other aromatics degradation	E3.5.5.1
2.1.1.1	Decomposing wastes or polluting substances	K01555	KO	0.6	foam	producer	08_Hydrocarbon degradation / Aromatic carboxylic acid degradation	FAH, fahA
2.1.1.1	Decomposing wastes or polluting substances	K01557	KO	0.6	foam	producer	08_Hydrocarbon degradation / Aromatic carboxylic acid degradation	FAHD1
2.1.1.1	Decomposing wastes or polluting substances	K01560	KO	0.80	literature:PMID:28258138	producer	Haloacid degradation	haloacid dehalogenase; cleaves C-halogen bonds; Wang et al 2017
2.1.1.1	Decomposing wastes or polluting substances	K01563	KO	0.80	literature:PMID:28258138	producer	Haloalkane degradation	haloalkane dehalogenase; dehalogenates chlorinated solvents
2.1.1.1	Decomposing wastes or polluting substances	K01572	KO	0.6	foam	producer	08_Hydrocarbon degradation / Aromatic carboxylic acid degradation	
2.1.1.1	Decomposing wastes or polluting substances	K01576	KO	0.6	foam	producer	08_Hydrocarbon degradation / Aromatic carboxylic acid degradation	mdlC
2.1.1.1	Decomposing wastes or polluting substances	K01586	KO	0.6	foam	producer	08_Hydrocarbon degradation / Aromatic carboxylic acid degradation	lysA
2.1.1.1	Decomposing wastes or polluting substances	K01590	KO	0.6	foam	producer	08_Hydrocarbon degradation / Aromatic carboxylic acid degradation	hdc, HDC
2.1.1.1	Decomposing wastes or polluting substances	K01617	KO	0.6	foam	producer	08_Hydrocarbon degradation / Chlorinated aromatics degradation	dmpH, xylI, nahK
2.1.1.1	Decomposing wastes or polluting substances	K01619	KO	0.6	foam	producer	08_Hydrocarbon degradation / Polycyclic aromatic hydrocarbon degradation	deoC, DERA
2.1.1.1	Decomposing wastes or polluting substances	K01666	KO	0.8	kegg_decoder	producer	Catechol meta-cleavage (xenobiotic degradation)	Catechol meta-cleavage (M00569)
2.1.1.1	Decomposing wastes or polluting substances	K01669	KO	0.65	kegg_decoder+literature	producer	Aromatic compound degradation	hppD 4-hydroxyphenylpyruvate dioxygenase; aromatic ring cleavage; tyrosine/xenobiotic degradation
2.1.1.1	Decomposing wastes or polluting substances	K01692	KO	0.55	kegg_decoder+literature	producer	Fatty acid/xenobiotic beta-oxidation	enoyl-CoA hydratase echA; beta-oxidation of fatty acids and xenobiotic acyl chains
2.1.1.1	Decomposing wastes or polluting substances	K01781	KO	0.6	foam	producer	08_Hydrocarbon degradation / Aromatic carboxylic acid degradation	mdlA
2.1.1.1	Decomposing wastes or polluting substances	K01800	KO	0.6	foam	producer	08_Hydrocarbon degradation / Aromatic carboxylic acid degradation	maiA, GSTZ1
2.1.1.1	Decomposing wastes or polluting substances	K01856	KO	0.9	kegg_decoder+foam	producer	Catechol ortho-cleavage (xenobiotic degradation)	Catechol ortho-cleavage (M00568); catB
2.1.1.1	Decomposing wastes or polluting substances	K01897	KO	0.60	kegg_decoder+literature	producer	Lipid/oil degradation	fadD long-chain acyl-CoA synthetase; activates fatty acids for beta-oxidation; hydrocarbon/oil remediation
2.1.1.1	Decomposing wastes or polluting substances	K03379	KO	0.6	foam	producer	08_Hydrocarbon degradation / Hydrocarbon degradation	chnB
2.1.1.1	Decomposing wastes or polluting substances	K03380	KO	0.6	foam	producer	08_Hydrocarbon degradation / Other aromatics degradation	E1.14.13.7
2.1.1.1	Decomposing wastes or polluting substances	K03381	KO	0.9	kegg_decoder+foam	producer	Catechol ortho-cleavage (xenobiotic degradation)	Catechol ortho-cleavage (M00568); catA
2.1.1.1	Decomposing wastes or polluting substances	K03384	KO	0.6	foam	producer	08_Hydrocarbon degradation / Polycyclic aromatic hydrocarbon degradation	
2.1.1.1	Decomposing wastes or polluting substances	K03464	KO	0.8	kegg_decoder	producer	Catechol ortho-cleavage (xenobiotic degradation)	Catechol ortho-cleavage (M00568)
2.1.1.1	Decomposing wastes or polluting substances	K04098	KO	0.6	foam	producer	08_Hydrocarbon degradation / Nitoaromatics degradation	chqB
2.1.1.1	Decomposing wastes or polluting substances	K04099	KO	0.6	foam	producer	08_Hydrocarbon degradation / Polycyclic aromatics degradation	desB, galA
2.1.1.1	Decomposing wastes or polluting substances	K04100	KO	0.75	literature:PMID:28258138	producer	Aromatic ring cleavage	biphenyl 2,3-dioxygenase; PCB degradation initial step
2.1.1.1	Decomposing wastes or polluting substances	K04102	KO	0.6	foam	producer	08_Hydrocarbon degradation / Aromatic carboxylic acid degradation	pht5
2.1.1.1	Decomposing wastes or polluting substances	K04110	KO	0.6	foam	producer	08_Hydrocarbon degradation / Aromatic carboxylic acid degradation	badA
2.1.1.1	Decomposing wastes or polluting substances	K05549	KO	0.6	foam	producer	08_Hydrocarbon degradation / Aromatic carboxylic acid degradation	benA-xylX
2.1.1.1	Decomposing wastes or polluting substances	K05550	KO	0.6	foam	producer	08_Hydrocarbon degradation / Aromatic carboxylic acid degradation	benB-xylY
2.1.1.1	Decomposing wastes or polluting substances	K05708	KO	0.6	foam	producer	08_Hydrocarbon degradation / Aromatic carboxylic acid degradation	hcaE, hcaA1
2.1.1.1	Decomposing wastes or polluting substances	K05709	KO	0.6	foam	producer	08_Hydrocarbon degradation / Aromatic carboxylic acid degradation	hcaF, hcaA2
2.1.1.1	Decomposing wastes or polluting substances	K05711	KO	0.6	foam	producer	08_Hydrocarbon degradation / Aromatic carboxylic acid degradation	hcaB
2.1.1.1	Decomposing wastes or polluting substances	K05797	KO	0.6	foam	producer	08_Hydrocarbon degradation / BTEX and related aromatics degradation	pchF
2.1.1.1	Decomposing wastes or polluting substances	K05823	KO	0.6	foam	producer	08_Hydrocarbon degradation / BTEX and related aromatics degradation	dapL
2.1.1.1	Decomposing wastes or polluting substances	K06912	KO	0.6	foam	producer	08_Hydrocarbon degradation / Chlorinated aromatics degradation	tfdA
2.1.1.1	Decomposing wastes or polluting substances	K07104	KO	0.8	kegg_decoder	producer	Catechol meta-cleavage (xenobiotic degradation)	Catechol meta-cleavage (M00569)
2.1.1.1	Decomposing wastes or polluting substances	K07259	KO	0.50	kegg_decoder+literature	producer	Phospholipid degradation	ompLA outer membrane phospholipase A; lipid turnover; organic pollutant processing
2.1.1.1	Decomposing wastes or polluting substances	K07516	KO	0.55	kegg_decoder+literature	producer	Fatty acid beta-oxidation	fadB/fadJ 3-hydroxyacyl-CoA dehydrogenase; beta-oxidation of xenobiotic acyl chains
2.1.1.1	Decomposing wastes or polluting substances	K07519	KO	0.6	foam	producer	08_Hydrocarbon degradation / Polycyclic aromatic hydrocarbon degradation	
2.1.1.1	Decomposing wastes or polluting substances	K07824	KO	0.6	foam	producer	08_Hydrocarbon degradation / Aromatic carboxylic acid degradation	CYP53A1
2.1.1.1	Decomposing wastes or polluting substances	K08689	KO	0.6	foam	producer	08_Hydrocarbon degradation / Polycyclic aromatics degradation	bphAa, bphA1, bphA
2.1.1.1	Decomposing wastes or polluting substances	K10217	KO	0.6	foam	producer	08_Hydrocarbon degradation / BTEX and related aromatics degradation	dmpC, xylG, praB
2.1.1.1	Decomposing wastes or polluting substances	K10219	KO	0.70	literature:PMID:33280938	producer	Atrazine degradation	atzA atrazine chlorohydrolase; herbicide degradation
2.1.1.1	Decomposing wastes or polluting substances	K10220	KO	0.70	literature:PMID:33280938	producer	Atrazine degradation	atzB hydroxyatrazine ethylaminohydrolase; herbicide degradation
2.1.1.1	Decomposing wastes or polluting substances	K10221	KO	0.70	literature:PMID:33280938	producer	Atrazine degradation	atzC N-isopropylammelide isopropylaminohydrolase
2.1.1.1	Decomposing wastes or polluting substances	K10222	KO	0.75	literature:PMID:33280938	producer	Organophosphate degradation	organophosphorus hydrolase (opd); pesticide detoxification; Sharma et al 2020
2.1.1.1	Decomposing wastes or polluting substances	K10676	KO	0.6	foam	producer	08_Hydrocarbon degradation / Heterocyclic aromatics degradation	tfdB
2.1.1.1	Decomposing wastes or polluting substances	K11066	KO	0.6	foam	producer	08_Hydrocarbon degradation / Other aromatics degradation	E3.5.1.28D, amiD
2.1.1.1	Decomposing wastes or polluting substances	K11943	KO	0.6	foam	producer	08_Hydrocarbon degradation / Polycyclic aromatic hydrocarbon degradation	nidA
2.1.1.1	Decomposing wastes or polluting substances	K11944	KO	0.6	foam	producer	08_Hydrocarbon degradation / Polycyclic aromatic hydrocarbon degradation	nidB
2.1.1.1	Decomposing wastes or polluting substances	K11945	KO	0.6	foam	producer	08_Hydrocarbon degradation / Polycyclic aromatic hydrocarbon degradation	phdF
2.1.1.1	Decomposing wastes or polluting substances	K11946	KO	0.6	foam	producer	08_Hydrocarbon degradation / Polycyclic aromatic hydrocarbon degradation	phdG
